Card Name,Card Code,Days Since Print,Rarity,Price,Availability
Asset Mountis,AGOV-EN083,586,Common,0.29,Out of Stock
Parry Knights,COTD-EN037,2798,Common,0.29,Out of Stock
Sylvan Flowerknight,LVAL-EN018,4261,Super Rare,0.59,Out of Stock
Jack's Knight,DPYG-EN004,502,Common,0.29,Out of Stock
Mementomictlan,VASM-EN008,586,Rare,0.39,Out of Stock
Number 49: Fortune Tune,NUMH-EN029,1755,Secret Rare,3.79,Out of Stock
Mecha Phantom Beast Sabre Hawk,SHSP-EN027,4261,Common,0.29,Out of Stock
Morphtronic Earfon,POTE-EN096,1300,Common,0.29,Out of Stock
Supreme King Dragon Dark Rebellion,COTD-EN041,831,Rare,0.39,Out of Stock
Vampire Takeover,SHSP-EN075,1454,Super Rare,0.49,Out of Stock
Centur-Ion Legatia,VASM-EN019,586,Ultra Rare,3.89,Out of Stock
Synkron Resonator,SDCK-EN006,950,Common,0.39,Out of Stock
Dark Artist,LVAL-EN090,4478,Common,0.29,Out of Stock
Three Strikes Barrier,COTD-EN067,2798,Common,0.29,Out of Stock
Labradorite Dragon,SHSP-EN001,2448,Super Rare,4.59,Out of Stock
Branded in Central Dogmatika,POTE-EN058,586,Common,0.29,Out of Stock
Absolute King Back Jack,TAMA-EN048,383,Rare,0.39,Out of Stock
Quick Booster,TAMA-EN052,1342,Rare,0.39,Out of Stock
Cyber Dragon Herz,SDCS-EN009,1657,Super Rare,0.49,Out of Stock
Trap Hole,YSKR-EN042,538,Common,0.29,Out of Stock
Invader of Darkness,TAMA-EN046,502,Rare,0.39,Out of Stock
"Lumina, Twilightsworn Shaman",COTD-EN026,411,Secret Rare,0.99,Out of Stock
Vaalmonica Scelta,VASM-EN036,894,Ultra Rare,4.09,Out of Stock
Saion the Vaylantz Archer,TAMA-EN002,1342,Rare,0.39,Out of Stock
Amazoness Call,LEDU-EN010,502,Rare,0.69,Out of Stock
Samurai Skull,COTD-EN081,2798,Common,0.39,Out of Stock
Farewelcome Labrynth,TAMA-EN024,964,Rare,0.39,Out of Stock
Treasure Panda,COTD-EN032,2798,Common,0.29,Out of Stock
Mobius the Mega Monarch,LVAL-EN040,3974,Secret Rare,4.39,Out of Stock
Burning Dragon,AGOV-EN094,586,Super Rare,0.49,Out of Stock
Gagagatag,SHSP-EN059,4261,Common,0.29,Out of Stock
Zombowwow,NUMH-EN014,4674,Super Rare,0.49,Out of Stock
Cursed Bride Doll,AGOV-EN026,922,Common,0.29,Out of Stock
Divine Dragon Knight Felgrand,SHSP-EN056,4261,Ghost Rare,37.69,Out of Stock
Beckoned by the World Chalice,COTD-EN020,2798,Common,0.29,Out of Stock
Big Shield Gardna,DPYG-EN009,502,Common,0.29,Out of Stock
"Gaia Prominence, the Fierce Force",AGOV-EN033,922,Common,0.29,Out of Stock
Runick Smiting Storm,TAMA-EN036,964,Rare,0.39,Out of Stock
Ancient Gear Golem - Ultimate Pound,COTD-EN099,2126,Common,0.29,Out of Stock
UFOLight,AGOV-EN021,586,Common,0.29,Out of Stock
Fiendish Chain,SDCK-EN037,950,Common,0.29,Out of Stock
Bujingi Raven,SHSP-EN081,4261,Rare,0.39,Out of Stock
Scarred Dragon Archfiend,SDCK-EN049,19,Super Rare,0.69,Out of Stock
Photon Lizard,NUMH-EN023,4450,Super Rare,0.49,Out of Stock
Spright Pixies,POTE-EN005,677,Common,0.29,Out of Stock
Gouki Re-Match,COTD-EN054,236,Super Rare,0.49,Out of Stock
Jack Wyvern,COTD-EN013,2798,Common,0.29,Out of Stock
Xyz Armor Fortress,AGOV-EN040,922,Super Rare,0.79,Out of Stock
Ghostrick Vanish,SHSP-EN073,4261,Common,0.29,Out of Stock
World Legacy Landmark,COTD-EN071,2798,Common,0.29,Out of Stock
Auram the World Chalice Blademaster,COTD-EN049,3190,Super Rare,0.49,Out of Stock
Bujingi Boar,SHSP-EN025,4261,Common,0.29,Out of Stock
Mementotlan Fracture Dance,VASM-EN011,894,Rare,0.39,Out of Stock
Launcher Commander,COTD-EN004,2798,Common,0.29,Out of Stock
Gogogo Aristera & Dexia,COTD-EN092,2798,Common,0.29,Out of Stock
Leotaur,LEDU-EN045,3155,Common,0.29,Out of Stock
Red-Eyes Baby Dragon,LEDU-EN001,978,Ultra Rare,11.39,Out of Stock
Propa Gandake,POTE-EN035,964,Common,0.29,Out of Stock
Amazoness Swords Woman,LEDU-EN013,502,Common,0.39,Out of Stock
Vampire Hunter,SHSP-EN034,1125,Super Rare,1.79,Out of Stock
Pumprincess the Princess of Ghosts,SHSP-EN032,978,Common,0.29,Out of Stock
Break Off Trap Hole,COTD-EN075,2630,Super Rare,0.49,Out of Stock
Archfiend Giant,SHSP-EN083,4261,Rare,0.39,Out of Stock
"The Most Distant, Deepest Depths",POTE-EN090,1363,Common,0.29,Out of Stock
"Digvorzhak, King of Heavy Industry",YCSW-EN005,2595,Ultra Rare,899.99,Out of Stock
Red Supernova Dragon,SDCK-EN044,950,Super Rare,0.48,Out of Stock
Assault Beast,SDCK-EN018,950,Common,0.39,Out of Stock
Sphere Kuriboh,LEDU-EN043,978,Common,0.29,Out of Stock
Shadow Vampire,SHSP-EN030,1454,Secret Rare,1.09,Out of Stock
Trickstar Candina,COTD-EN008,2798,Ultra Rare,3.39,Out of Stock
Risebell the Star Psycher,SHSP-EN044,4261,Common,0.29,Out of Stock
A Legendary Ocean,LEDU-EN021,978,Common,0.29,Out of Stock
Gravekeeper's Nobleman,LVAL-EN031,4261,Ultra Rare,4.99,Out of Stock
Giganticastle,SHSP-EN058,4555,Rare,0.39,Out of Stock
Bujin Mikazuchi,SHSP-EN022,4261,Ultra Rare,1.79,Out of Stock
Armed Protector Dragon,SHSP-EN012,1195,Common,0.29,Out of Stock
Spright Gamma Burst,POTE-EN056,677,Common,0.29,Out of Stock
White Dragon Wyverburster,SHSP-EN093,383,Common,0.29,Out of Stock
Blue-Eyes White Dragon,YSKR-EN001,19,Common,0.79,Out of Stock
Old Vindictive Magician,YSYR-EN014,978,Common,0.59,Out of Stock
Elemental HERO Spirit of Neos,POTE-EN001,236,Super Rare,0.49,Out of Stock
White Duston,LVAL-EN001,4478,Common,0.49,Out of Stock
Mannadium Trisukta,AGOV-EN037,922,Ultra Rare,1.19,Out of Stock
Wandering King Wildwind,SDCK-EN013,950,Common,0.29,Out of Stock
Ghostrick Jackfrost,LVAL-EN021,2736,Common,0.39,Out of Stock
Blind Obliteration,COTD-EN079,3190,Rare,0.39,Out of Stock
"Digvorzhak, King of Heavy Industry",YCSW-EN005,2595,Super Rare,1649.99,Out of Stock
Polymerization,LOB-EN059,271,Super Rare,1.79,Out of Stock
Battle Warrior,NUMH-EN025,3694,Super Rare,0.69,Out of Stock
Vaylantz Dominator Duke,TAMA-EN008,1342,Rare,0.39,Out of Stock
T.G. Glaive Blaster,AGOV-EN036,922,Quarter Century Secret Rare,7.79,Out of Stock
Armed Protector Dragon,SHSP-EN012,1195,Common,0.29,Out of Stock
T.G. Glaive Blaster,AGOV-EN036,922,Ultra Rare,0.49,Out of Stock
Photon Alexandra Queen,NUMH-EN047,4674,Secret Rare,0.99,Out of Stock
Labrynth Stovie Torbie,TAMA-EN019,916,Rare,0.39,Out of Stock
The Light - Hex-Sealed Fusion,SDCR-EN017,4464,Common,0.59,Out of Stock
Tearlaments Scheiren,POTE-EN014,1363,Super Rare,2.69,Out of Stock
Vaalmonica Versare,VASM-EN037,894,Super Rare,0.49,Out of Stock
Branded Expulsion,POTE-EN070,964,Common,0.29,Out of Stock
Runick Destruction,TAMA-EN031,964,Super Rare,0.49,Out of Stock
Cyber Twin Dragon,SDCR-EN037,2770,Ultra Rare,0.89,Out of Stock
Waboku,YSYR-EN039,502,Common,0.69,Out of Stock
Gimmick Puppet Gear Changer,NUMH-EN006,4674,Super Rare,0.49,Out of Stock
Dark Magician,YSYR-EN001,19,Common,0.59,Out of Stock
Mimesis Elephant,POTE-EN085,586,Common,0.29,Out of Stock
Baby Raccoon Ponpoko,SHSP-EN014,1015,Common,0.29,Out of Stock
Vampire Takeover,SHSP-EN075,1454,Super Rare,0.49,Out of Stock
Light of Redemption,SDCR-EN027,4464,Common,0.29,Out of Stock
BIG Win!?,SHSP-EN080,4555,Common,0.29,Out of Stock
Malicevorous Knife,SHSP-EN005,4261,Common,0.29,Out of Stock
Sacred Noble Knight of King Artorigus,SHSP-EN087,4177,Ultra Rare,4.89,Out of Stock
"Puralis, the Purple Pyrotile",SHSP-EN057,4555,Rare,0.39,Out of Stock
Number C65: King Overfiend,SHSP-EN048,4555,Rare,0.59,Out of Stock
Xyz Entrust,AGOV-EN051,586,Common,0.29,Out of Stock
Supreme King Gate Magician,AGOV-EN001,922,Super Rare,1.59,Out of Stock
Vorse Raider,YSKR-EN010,789,Common,0.29,Out of Stock
Ghostrick-Go-Round,LVAL-EN074,4261,Rare,0.99,Out of Stock
Duelist Alliance,TAMA-EN055,1342,Rare,0.39,Out of Stock
CXyz Comics Hero Legend Arthur,NUMH-EN042,4674,Secret Rare,0.99,Out of Stock
Don Zaloog,LART-EN044,861,Ultra Rare,6.39,Out of Stock
Number 54: Lion Heart,NUMH-EN026,796,Secret Rare,1.49,Out of Stock
Chronomaly Winged Sphinx,LVAL-EN009,4261,Common,0.29,Out of Stock
Bujin Arasuda,LVAL-EN026,4261,Ultra Rare,1.09,Out of Stock
"Nephilabyss, the Ogdoadic Overlord",AGOV-EN016,922,Super Rare,0.49,Out of Stock
Tarai,AGOV-EN024,586,Common,0.29,Out of Stock
Spellbook of Knowledge,COTD-EN062,96,Ultra Rare,0.99,Out of Stock
Infernal Flame Banshee,AGOV-EN043,586,Ultra Rare,2.79,Out of Stock
Performage Trick Clown,VASM-EN042,894,Rare,0.39,Out of Stock
Ghostrick Museum,LVAL-EN064,4261,Common,0.39,Out of Stock
Burst Rebirth,SHSP-EN070,4555,Rare,0.39,Out of Stock
Gillagillancer,LVAL-EN003,4261,Common,0.29,Out of Stock
Ariane the Labrynth Servant,TAMA-EN016,964,Ultra Rare,1.29,Out of Stock
Shard of Greed,YSKR-EN041,1511,Common,0.69,Out of Stock
Gen the Diamond Tiger,AGOV-EN082,586,Common,0.29,Out of Stock
T.G. Rocket Salamander,AGOV-EN003,586,Quarter Century Secret Rare,13.49,Out of Stock
Tainted of the Tistina,AGOV-EN088,922,Ultra Rare,0.49,Out of Stock
Dragard,SHSP-EN092,4555,Super Rare,0.59,Out of Stock
T.G. Limiter Removal,AGOV-EN049,922,Secret Rare,0.99,Out of Stock
Labrynth Archfiend,TAMA-EN015,964,Rare,0.39,Out of Stock
Yellow Gadget,DPYG-EN014,586,Common,0.29,Out of Stock
Infernity Patriarch,COTD-EN091,2798,Common,0.29,Out of Stock
"Leo, the Keeper of the Sacred Tree",LVAL-EN058,2756,Rare,0.79,Out of Stock
Meklord Emperor Wisel,VASM-EN049,894,Rare,0.39,Out of Stock
Hydrogeddon,LEDU-EN040,1297,Common,0.29,Out of Stock
Dark Magic Attack,YSYR-EN032,978,Common,0.69,Out of Stock
Gorgonic Gargoyle,LVAL-EN012,4261,Common,0.29,Out of Stock
Dark Hole Dragon,AGOV-EN020,586,Ultra Rare,0.79,Out of Stock
Burst Stream of Destruction,YSKR-EN036,439,Common,0.29,Out of Stock
Spright Carrot,POTE-EN007,1041,Common,0.29,Out of Stock
Runick Freezing Curses,TAMA-EN033,964,Super Rare,0.59,Out of Stock
Twilight Cloth,COTD-EN073,2798,Common,0.29,Out of Stock
Duston Roller,LVAL-EN080,4478,Common,0.39,Out of Stock
Nikitama,LVAL-EN037,4478,Rare,3.19,Out of Stock
Red Gadget,YSYR-EN020,586,Common,0.29,Out of Stock
F.A. Downforce,COTD-EN089,2798,Common,0.29,Out of Stock
Malicevorous Fork,SHSP-EN004,4261,Common,0.29,Out of Stock
Black Dragon Collapserpent,SHSP-EN096,383,Common,0.29,Out of Stock
Ningirsu the World Chalice Warrior,COTD-EN050,2798,Secret Rare,0.99,Out of Stock
Battlin' Boxer Cheat Commissioner,SHSP-EN049,992,Rare,0.39,Out of Stock
Dark Magician,DPYG-EN001,19,Rare,0.49,Out of Stock
Ghoti of the Deep Beyond,POTE-EN000,383,Secret Rare,0.99,Out of Stock
"Vaalmonica, the Agathokakological Voice",VASM-EN035,894,Ultra Rare,3.39,Out of Stock
Stoic Challenge,NUMH-EN055,4674,Super Rare,0.49,Out of Stock
D/D/D Wave High King Caesar,COTD-EN042,325,Super Rare,4.79,Out of Stock
Ghoti Chain,POTE-EN091,1363,Common,0.29,Out of Stock
Synchro Transmission,VASM-EN029,145,Rare,0.39,Out of Stock
Black Dragon Collapserpent,SHSP-EN096,383,Common,0.29,Out of Stock
Mythic Water Dragon,SHSP-EN011,4261,Common,0.29,Out of Stock
Apophis the Swamp Deity,VASM-EN060,236,Rare,0.39,Out of Stock
Reckless Greed,TAMA-EN057,1342,Rare,0.39,Out of Stock
Number C101: Silent Honor DARK,LVAL-EN046,236,Ultra Rare,2.79,Out of Stock
Gorgonic Guardian,LVAL-EN051,4261,Common,0.39,Out of Stock
Offerings to the Doomed,YSKR-EN033,502,Common,0.29,Out of Stock
Supreme Rage,COTD-EN070,831,Common,0.39,Out of Stock
Chain Ignition,SHSP-EN077,4555,Common,0.29,Out of Stock
Wattuna,AGOV-EN015,922,Common,0.29,Out of Stock
Insect Armor with Laser Cannon,NUMH-EN057,2462,Super Rare,0.79,Out of Stock
Bujin Regalia - The Jewel,LVAL-EN075,4261,Common,0.29,Out of Stock
Resonator Call,SDCK-EN028,950,Common,0.29,Out of Stock
Scatter Fusion,POTE-EN062,586,Super Rare,0.49,Out of Stock
Rainbow Kuriboh,LVAL-EN004,2406,Secret Rare,3.29,Out of Stock
Burning Soul,SDCK-EN030,950,Common,0.29,Out of Stock
Unformed Void,NUMH-EN049,4674,Super Rare,0.49,Out of Stock
Ghostrick Nekomusume,LVAL-EN023,4261,Common,0.29,Out of Stock
Mira the Star-Bearer,SHSP-EN091,4555,Common,0.39,Out of Stock
Origami Goddess,AGOV-EN027,586,Common,0.29,Out of Stock
P.U.N.K. JAM Extreme Session,POTE-EN065,320,Super Rare,0.49,Out of Stock
Archlord Kristya,VASM-EN048,894,Rare,0.49,Out of Stock
Diabellstar the Black Witch,AGOV-EN006,237,Secret Rare,5.19,Out of Stock
Mementoal Tecuhtlica - Combined Creation,VASM-EN001,19,Ultra Rare,24.99,Out of Stock
Compulsory Evacuation Device,TAMA-EN044,19,Rare,0.39,Out of Stock
Paladin of Photon Dragon,LVAL-EN045,4478,Rare,0.79,Out of Stock
Malicevorous Knife,SHSP-EN005,4261,Common,0.29,Out of Stock
Return of the Monarchs,SHSP-EN067,3743,Ultra Rare,7.59,Out of Stock
Gorgonic Ghoul,LVAL-EN013,4261,Common,0.29,Out of Stock
Resonator Engine,SDCK-EN027,950,Common,0.29,Out of Stock
The Dragon Dwelling in the Cave,YSKR-EN006,3988,Common,0.29,Out of Stock
Blue Mountain Butterspy,NUMH-EN012,2756,Super Rare,0.49,Out of Stock
Number 64: Ronin Raccoon Sandayu,SHSP-EN051,4261,Rare,2.69,Out of Stock
Rikka Princess,POTE-EN027,964,Common,0.29,Out of Stock
"Askaan, the Bicorned Ghoti",POTE-EN089,1363,Common,0.29,Out of Stock
Chocolate Magician Girl,LART-EN046,1230,Ultra Rare,14.99,Out of Stock
"Jizukiru, the Star Destroying Kaiju",SDCS-EN019,796,Common,0.29,Out of Stock
Chosen by the World Chalice,COTD-EN019,2798,Common,0.29,Out of Stock
"Mariña, Princess of Sunflowers",SHSP-EN040,2218,Super Rare,0.49,Out of Stock
Scapegoat,TAMA-EN043,19,Rare,0.39,Out of Stock
Arias the Labrynth Butler,AGOV-EN017,19,Secret Rare,12.79,Out of Stock
S:P Little Knight,AGOV-EN046,47,Quarter Century Secret Rare,305.89,Out of Stock
Water Dragon Cluster,LEDU-EN036,1297,Super Rare,0.99,Out of Stock
Intrigue Shield,SHSP-EN072,4289,Common,0.29,Out of Stock
Cyber Eltanin,SDCR-EN010,796,Common,0.29,Out of Stock
Vernusylph and the Flower Buds,POTE-EN075,586,Common,0.29,Out of Stock
Breaker the Magical Warrior,YSYR-EN015,502,Common,0.99,Out of Stock
Risebell the Star Psycher,SHSP-EN044,4261,Common,0.29,Out of Stock
ZW - Asura Strike,LVAL-EN002,4478,Rare,0.89,Out of Stock
Call of the Haunted,YSYR-EN042,19,Common,0.29,Out of Stock
Centur-Ion Phalanx,VASM-EN023,236,Super Rare,0.49,Out of Stock
Skilled Dark Magician,YSYR-EN013,756,Common,0.39,Out of Stock
Box of Friends,NUMH-EN013,1454,Secret Rare,0.99,Out of Stock
Labrynth Barrage,TAMA-EN025,964,Super Rare,0.49,Out of Stock
Over Fusion,POTE-EN054,964,Common,0.29,Out of Stock
Arianna the Labrynth Servant,TAMA-EN017,964,Ultra Rare,2.49,Out of Stock
Buster Blader,DPYG-EN007,383,Common,0.29,Out of Stock
Boogie Trap,COTD-EN064,2931,Common,0.29,Out of Stock
Ghostrick Jiangshi,SHSP-EN020,1454,Common,0.29,Out of Stock
Runick Flashing Fire,TAMA-EN030,964,Super Rare,0.59,Out of Stock
Giganticastle,SHSP-EN058,4555,Rare,0.39,Out of Stock
Centur-Ion Emeth VI,VASM-EN018,894,Ultra Rare,3.59,Out of Stock
Terrene Toothed Tsuchinoko,SHSP-EN043,4555,Common,0.29,Out of Stock
Icejade Creation Aegirocassis,POTE-EN010,964,Common,0.29,Out of Stock
Pendulum Switch,TAMA-EN060,1342,Rare,0.39,Out of Stock
Ancient Rules,YSYR-EN034,2973,Common,0.69,Out of Stock
Tearlaments Kitkallos,POTE-EN042,1363,Ultra Rare,5.99,Out of Stock
Aratama,SHSP-EN035,1041,Rare,0.59,Out of Stock
Aussa the Earth Channeler,POTE-EN032,96,Starlight Rare,14.19,Out of Stock
Super Vehicroid - Mobile Base,LEDU-EN030,2126,Super Rare,0.49,Out of Stock
Stand Up Centur-Ion!,VASM-EN020,19,Super Rare,0.49,Out of Stock
The Ascended of Thunder,COTD-EN036,2798,Common,0.39,Out of Stock
Butterspy Protection,NUMH-EN060,4289,Super Rare,0.49,Out of Stock
Earthbound Servant Geo Gremlina,AGOV-EN031,586,Common,0.29,Out of Stock
Cyber Dragon Zwei,SDCR-EN004,1657,Common,0.29,Out of Stock
Number C96: Dark Storm,SHSP-EN046,4555,Super Rare,0.99,Out of Stock
Burst Rebirth,SHSP-EN070,4555,Rare,0.39,Out of Stock
Bujingi Peacock,LVAL-EN027,4261,Rare,0.39,Out of Stock
Sylvan Marshalleaf,LVAL-EN017,4261,Ultra Rare,4.19,Out of Stock
Supreme King Dragon Clear Wing,COTD-EN039,831,Rare,0.49,Out of Stock
Original Sinful Spoils - Snake-Eye,AGOV-EN057,586,Quarter Century Secret Rare,30.69,Out of Stock
Gagagatag,SHSP-EN059,4261,Common,0.29,Out of Stock
Junk Breaker,COTD-EN090,2798,Common,0.39,Out of Stock
Bujin Regalia - The Mirror,SHSP-EN063,4261,Rare,0.39,Out of Stock
Summoner Monk,VASM-EN025,894,Rare,0.39,Out of Stock
Ken the Warrior Dragon,AGOV-EN081,586,Common,0.29,Out of Stock
Red Dragon Archfiend/Assault Mode,SDCK-EN017,950,Common,0.29,Out of Stock
Morphtronic Converter,POTE-EN098,964,Common,0.29,Out of Stock
Red Arrows,AGOV-EN096,586,Common,0.29,Out of Stock
Divine Temple of the Snake-Eye,AGOV-EN056,586,Quarter Century Secret Rare,16.99,Out of Stock
Swarm of Crows,SHSP-EN042,4555,Rare,0.39,Out of Stock
Wings of Light,AGOV-EN048,922,Super Rare,0.59,Out of Stock
"World Legacy - ""World Chalice""",COTD-EN023,2798,Rare,0.39,Out of Stock
Mount Sylvania,LVAL-EN063,4261,Super Rare,1.29,Out of Stock
Albaz the Ashen,POTE-EN011,964,Super Rare,0.49,Out of Stock
Evolution Burst,SDCR-EN020,1510,Common,0.29,Out of Stock
Stack Reviver,COTD-EN003,2798,Common,0.29,Out of Stock
Number 57: Tri-Head Dust Dragon,NUMH-EN030,4674,Secret Rare,1.69,Out of Stock
Tearlaments Havnis,POTE-EN013,1176,Common,0.29,Out of Stock
Gash the Dust Lord,NUMH-EN015,4674,Super Rare,0.49,Out of Stock
Black Brachios,LVAL-EN038,1503,Common,0.29,Out of Stock
Vendread Reorigin,COTD-EN085,2798,Secret Rare,0.99,Out of Stock
Number 101: Silent Honor ARK,LVAL-EN047,383,Ultra Rare,3.89,Out of Stock
Ghostrick Yeti,LVAL-EN082,2736,Common,0.29,Out of Stock
CXyz Mechquipped Djinn Angeneral,NUMH-EN036,4674,Super Rare,0.49,Out of Stock
Noble Knight Peredur,LVAL-EN085,4177,Super Rare,0.59,Out of Stock
Mistake,SHSP-EN076,1993,Secret Rare,2.39,Out of Stock
Soul Exchange,YSKR-EN029,789,Common,0.29,Out of Stock
Bujingi Swallow,LVAL-EN028,4261,Common,0.29,Out of Stock
Cyberdark Chimera,SDCS-EN002,1657,Ultra Rare,0.49,Out of Stock
Thousand Knives,YSYR-EN031,824,Common,0.59,Out of Stock
Spright Elf,POTE-EN049,1363,Ultra Rare,6.79,Out of Stock
Catapult Turtle,DPYG-EN006,1104,Common,0.29,Out of Stock
Vendread Houndhorde,COTD-EN000,3190,Rare,0.79,Out of Stock
Super Polymerization,SDCR-EN021,19,Common,2.79,Out of Stock
Anti-Spell Fragrance,TAMA-EN056,705,Rare,0.39,Out of Stock
Destiny HERO - Destroyer Phoenix Enforcer,POTE-EN100,236,Starlight Rare,188.29,Out of Stock
Ogdoadic Daybreak,AGOV-EN063,586,Common,0.29,Out of Stock
Danger! Nessie!,SDCK-EN022,19,Common,0.29,Out of Stock
Baby Tiragon,NUMH-EN051,4674,Super Rare,0.49,Out of Stock
Mistake,SHSP-EN076,1993,Secret Rare,3.59,Out of Stock
Kaiser Sea Horse,YSKR-EN016,1297,Common,0.39,Out of Stock
Ghostrick Specter,SHSP-EN017,1454,Common,0.29,Out of Stock
Magic Planter,VASM-EN028,68,Rare,0.39,Out of Stock
Battlin' Boxer Rabbit Puncher,SHSP-EN007,992,Common,0.39,Out of Stock
King's Sarcophagus,AGOV-EN058,96,Quarter Century Secret Rare,51.09,Out of Stock
Full Armored Dark Knight Lancer,AGOV-EN041,586,Ultra Rare,1.79,Out of Stock
Dark Paladin,DPYG-EN016,320,Ultra Rare,8.69,Out of Stock
Chronomaly Winged Sphinx,LVAL-EN009,4261,Common,0.29,Out of Stock
Favorite Contact,POTE-EN069,586,Ultra Rare,9.99,Out of Stock
Chronomaly Mud Golem,NUMH-EN003,4674,Super Rare,0.49,Out of Stock
Divine Dragon Knight Felgrand,SHSP-EN056,4261,Ghost Rare,35.69,Out of Stock
"Alsei, the Sylvan High Protector",LVAL-EN052,1146,Ultra Rare,1.59,Out of Stock
Sylvan Bladefender,LVAL-EN000,4261,Super Rare,0.49,Out of Stock
Mementotlan Tatsunootoshigo,VASM-EN003,236,Super Rare,0.99,Out of Stock
Bujingi Crow,SHSP-EN023,4261,Rare,0.39,Out of Stock
Infinite Impermanence,SDCS-EN036,19,Super Rare,2.49,Out of Stock
Sakuretsu Armor,YSKR-EN043,502,Common,0.69,Out of Stock
Kuriboh,YSYR-EN008,1104,Common,0.39,Out of Stock
Galaxy Worm,COTD-EN094,2105,Common,0.29,Out of Stock
Gimmick Puppet Twilight Joker,NUMH-EN007,4674,Super Rare,0.49,Out of Stock
Chaos Necromancer,YSKR-EN017,1104,Common,0.29,Out of Stock
Switch Point,AGOV-EN099,922,Super Rare,0.49,Out of Stock
Gogogo Golem,NUMH-EN017,383,Super Rare,0.49,Out of Stock
Shadow Spell,YSKR-EN044,502,Common,0.29,Out of Stock
Vernusylph and the Changing Season,POTE-EN074,1363,Common,0.29,Out of Stock
Creation Resonator,SDCK-EN005,950,Common,0.29,Out of Stock
Canopic Protector,AGOV-EN076,586,Super Rare,0.49,Out of Stock
Gorgonic Cerberus,LVAL-EN014,4261,Common,0.29,Out of Stock
Vampire Sorcerer,SHSP-EN029,1125,Ultra Rare,0.79,Out of Stock
Vampire Hunter,SHSP-EN034,1125,Super Rare,1.19,Out of Stock
Mira the Star-Bearer,SHSP-EN091,4555,Common,0.29,Out of Stock
Cyber Phoenix,SDCR-EN008,383,Common,0.29,Out of Stock
Dragon Shield,SHSP-EN061,4555,Common,0.29,Out of Stock
Red-Eyes Slash Dragon,LEDU-EN003,236,Ultra Rare,7.29,Out of Stock
Ghostrick Mummy,LVAL-EN025,1454,Common,0.29,Out of Stock
Double Dust Tornado Twins,POTE-EN080,586,Common,0.29,Out of Stock
Vaylantz Mad Marquess,TAMA-EN007,1342,Rare,0.39,Out of Stock
Wonder Balloons,LEDU-EN049,3155,Common,0.29,Out of Stock
Sylvan Komushroomo,LVAL-EN016,4261,Rare,0.59,Out of Stock
"Duamutef, Blessing of Horus",AGOV-EN012,96,Quarter Century Secret Rare,11.99,Out of Stock
Return of the Monarchs,SHSP-EN067,3743,Ultra Rare,11.69,Out of Stock
Vaylantz Buster Baron,TAMA-EN005,1342,Super Rare,0.49,Out of Stock
Armoroid,LEDU-EN034,3155,Common,0.29,Out of Stock
"Malice, Lady of Lament",TAMA-EN051,1342,Rare,0.39,Out of Stock
Sylvan Guardioak,LVAL-EN019,4261,Common,0.29,Out of Stock
Monster Reborn,DPYG-EN019,19,Rare,0.49,Out of Stock
Ghostrick Lantern,SHSP-EN016,1454,Super Rare,0.69,Out of Stock
Supply Squad,VASM-EN014,824,Rare,0.39,Out of Stock
Realm Elegy,AGOV-EN052,922,Super Rare,0.49,Out of Stock
Swords of Revealing Light,YSYR-EN026,19,Common,0.39,Out of Stock
Photon Cerberus,NUMH-EN022,4674,Super Rare,0.49,Out of Stock
Stained Glass of Light & Dark,VASM-EN045,894,Rare,0.39,Out of Stock
Cyberse Wizard,COTD-EN001,2952,Super Rare,0.49,Out of Stock
Battlin' Boxer Rib Gardna,SHSP-EN006,4261,Common,0.49,Out of Stock
Hidden Temples of Necrovalley,LVAL-EN066,1993,Rare,0.39,Out of Stock
Ultimate Slayer,POTE-EN067,68,Secret Rare,4.29,Out of Stock
Deep-Space Cruiser IX,LVAL-EN010,4478,Common,0.29,Out of Stock
Bujingi Raven,SHSP-EN081,4261,Rare,0.39,Out of Stock
Vampire Sorcerer,SHSP-EN029,1125,Ultra Rare,0.49,Out of Stock
Rikka Konkon,POTE-EN066,964,Super Rare,0.49,Out of Stock
Castle Link,COTD-EN065,3190,Ultra Rare,0.49,Out of Stock
Mage Power,YSYR-EN029,538,Common,0.59,Out of Stock
Odd-Eyes Arcray Dragon,AGOV-EN030,19,Ultra Rare,2.29,Out of Stock
Swarm of Crows,SHSP-EN042,4555,Rare,0.39,Out of Stock
Re: EX,COTD-EN034,2798,Rare,0.39,Out of Stock
Book of Moon,YSYR-EN030,173,Common,0.49,Out of Stock
Terrors of the Overroot,POTE-EN078,805,Common,0.29,Out of Stock
Mementotlan Mace,VASM-EN006,894,Super Rare,0.69,Out of Stock
Kagetokage,NUMH-EN018,3191,Super Rare,0.69,Out of Stock
Witch of the Black Forest,SDCK-EN024,502,Common,0.29,Out of Stock
Sylvan Komushroomo,LVAL-EN016,4261,Rare,0.59,Out of Stock
Genomix Fighter,SHSP-EN039,4261,Ultra Rare,0.49,Out of Stock
Nurse Dragonmaid,LART-EN048,320,Ultra Rare,3.29,Out of Stock
Gouki Suprex,COTD-EN010,236,Rare,0.39,Out of Stock
Nazuki the Vaylantz Ninja,TAMA-EN003,1342,Rare,0.39,Out of Stock
Pendulum Evolution,AGOV-EN047,586,Common,0.29,Out of Stock
"Paces, Light of the Ghoti",POTE-EN086,1363,Ultra Rare,2.69,Out of Stock
